Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
The transition from genomics to phenomics in personalized population health,Nature Reviews Genetics,,,,10.1038/s41576-023-00674-x,James T. YurkovichSimon J. EvansNoa RappaportJeffrey L. BooreJennifer C. LovejoyNathan D. PriceLeroy E. Hood,2023,https://link.springer.com/article/10.1038/s41576-023-00674-x,Article
Enhancing safety in urban mobility with female digital twins,AI & SOCIETY,,,,10.1007/s00146-025-02762-4,Paloma Cáceres García de MarinaDolores Cuadra FernándezAlmudena Sierra AlonsoBelén Vela Sánchez,2025,https://link.springer.com/article/10.1007/s00146-025-02762-4,Article
"They shall be fair, transparent, and robust: auditing learning analytics systems",AI and Ethics,,,,10.1007/s43681-023-00292-7,Katharina Simbeck,2023,https://link.springer.com/article/10.1007/s43681-023-00292-7,Article
Xify: GAN-Based Classifier for COVID-19 and Pneumonia X-Ray Image,Applied Computing for Software and Smart Systems,,,,10.1007/978-981-99-7783-3_8,Ayush SoniDilesh ChouhanHarsh MahalwarAditya KakadNovarun Deb,2023,https://link.springer.com/chapter/10.1007/978-981-99-7783-3_8,Conference paper
The ethics of algorithms: key problems and solutions,AI & SOCIETY,,,,10.1007/s00146-021-01154-8,Andreas TsamadosNikita AggarwalJosh CowlsJessica MorleyHuw RobertsMariarosaria TaddeoLuciano Floridi,2021,https://link.springer.com/article/10.1007/s00146-021-01154-8,Article
Resampling approaches to handle class imbalance: a review from a data perspective,Journal of Big Data,,,,10.1186/s40537-025-01119-4,Miguel CarvalhoArmando J. PinhoSusana Brás,2025,https://link.springer.com/article/10.1186/s40537-025-01119-4,Article
Identifying and Mitigating Potential Biases in Predicting Drug Approvals,Drug Safety,,,,10.1007/s40264-022-01160-9,Qingyang XuElaheh AhmadiAlexander AminiDaniela RusAndrew W. Lo,2022,https://link.springer.com/article/10.1007/s40264-022-01160-9,Article
"Text data augmentation for large language models: a comprehensive survey of methods, challenges, and opportunities",Artificial Intelligence Review,,,,10.1007/s10462-025-11405-5,Yaping ChaiHaoran XieJoe S. Qin,2025,https://link.springer.com/article/10.1007/s10462-025-11405-5,Article
ECR 2022 Book of Abstracts,Insights into Imaging,,,,10.1186/s13244-022-01337-x,,2022,https://link.springer.com/article/10.1186/s13244-022-01337-x,Article
Data AUDIT: Identifying Attribute Utility- and&#xa0;Detectability-Induced Bias in&#xa0;Task Models,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,,,,10.1007/978-3-031-43898-1_43,Mitchell PavlakNathan DrenkowNicholas PetrickMohammad Mehdi FarhangiMathias Unberath,2023,https://link.springer.com/chapter/10.1007/978-3-031-43898-1_43,Conference paper
How generative AI Is shaping the future of marketing,Journal of the Academy of Marketing Science,,,,10.1007/s11747-024-01064-3,Dhruv GrewalCinthia B. SatorninoThomas DavenportAbhijit Guha,2024,https://link.springer.com/article/10.1007/s11747-024-01064-3,Article
Towards Fairness in AI: Addressing Bias in Data Using GANs,"HCI International 2021 - Late Breaking Papers: Multimodality, eXtended Reality, and Artificial Intelligence",,,,10.1007/978-3-030-90963-5_39,Amirarsalan RajabiOzlem O. Garibay,2021,https://link.springer.com/chapter/10.1007/978-3-030-90963-5_39,Conference paper
A Data-Centric MLOps Framework for Academic Prediction with Socioeconomic Context in Vietnamese High Schools,SN Computer Science,,,,10.1007/s42979-025-04654-2,T. T. H. PhamN. T. K. OanhMinh Thuan PhamT. H. Phuoc NguyenPhat-Vo Le Thanh,2026,https://link.springer.com/article/10.1007/s42979-025-04654-2,Article
Explainable Artificial Intelligence (XAI) Supporting Public Administration Processes – On the Potential of XAI in Tax Audit Processes,Innovation Through Information Systems,,,,10.1007/978-3-030-86790-4_28,Nijat MehdiyevConstantin HouyOliver GutermuthLea MayerPeter Fettke,2021,https://link.springer.com/chapter/10.1007/978-3-030-86790-4_28,Conference paper
A comparative study of pre-processing algorithms for fair classification in few labeled data context,AI and Ethics,,,,10.1007/s43681-024-00601-8,Willian Dihanster Gomes de OliveiraLilian Berton,2024,https://link.springer.com/article/10.1007/s43681-024-00601-8,Article
Implementing domain-specific LLMs for strategic investment decisions: a retrospective case study comparing AI and human expertise,Digital Finance,,,,10.1007/s42521-025-00163-2,Maher Hamid,2025,https://link.springer.com/article/10.1007/s42521-025-00163-2,Article
Conceptual challenges for interpretable machine learning,Synthese,,,,10.1007/s11229-022-03485-5,David S. Watson,2022,https://link.springer.com/article/10.1007/s11229-022-03485-5,Article
Deep Learning Model Fitting for Diffusion-Relaxometry: A Comparative Study,Computational Diffusion MRI,,,,10.1007/978-3-030-73018-5_13,Francesco GrussuMarco BattistonMarco PalomboTorben SchneiderClaudia A. M. Gandini Wheeler-KingshottDaniel C. Alexander,2021,https://link.springer.com/chapter/10.1007/978-3-030-73018-5_13,Conference paper
Mitigating concept drift in data streams: an incremental decision tree approach,Soft Computing,,,,10.1007/s00500-024-09921-7,Hadi TarazodarKaramollah BagherifardSamad NejatianHamid ParvinRazieh Malekhosseini,2024,https://link.springer.com/article/10.1007/s00500-024-09921-7,Article
"A survey on learning from imbalanced data streams: taxonomy, challenges, empirical study, and reproducible experimental framework",Machine Learning,,,,10.1007/s10994-023-06353-6,Gabriel AguiarBartosz KrawczykAlberto Cano,2023,https://link.springer.com/article/10.1007/s10994-023-06353-6,Article
